false_positive_rate,true_positive_rate,threshold
0.01515969190011284,0.0,0.07895138067810237
0.015306873374871216,0.0,0.07874906567744888
0.015404994358043468,0.0,0.0787433508083224
0.01560123632438797,0.0,0.07845387376238933
0.01569935730756022,0.0,0.07842800288656082
0.015895599273904725,0.0,0.07813101715052428
0.015993720257076977,0.0,0.07812740812908647
0.016140901731835352,0.0,0.07809125637805203
0.017612716479419123,0.0,0.07807930003793717
0.01766177697100525,0.0,0.07793086497269697
0.0177598979541775,0.0,0.07790501328534738
0.017808958445763627,0.0,0.07778246116999277
0.017956139920522005,0.0,0.0777566149273764
0.018054260903694254,0.0,0.07773076963302328
0.018152381886866506,0.0,0.0775824079732439
0.018446744836383262,0.0,0.07755656907030639
0.01869204729431389,0.0,0.07741650906061692
0.021243192856792426,0.0,0.0773824115865408
0.021292253348378552,0.0,0.07723412329592105
0.021439434823136927,0.0,0.07706004555142609
0.02163567678948143,0.0,0.07691182515567874
0.021684737281067557,0.0,0.07690242799614544
0.02178285826423981,0.0,0.07688601085551006
0.021831918755825932,0.0,0.0768267611367971
0.022028160722170436,0.0,0.07682411074935303
0.022126281705342688,0.0,0.07671201919752735
0.022469705146445567,0.0,0.07668621222796657
0.022616886621203945,0.0,0.0765380705668347
0.024922729725751852,0.0,0.07651226997921201
0.025364274150026983,0.0,0.07627001507677311
0.025560516116371487,0.0,0.0761903023447611
0.025658637099543736,0.0,0.07613111121297944
0.025756758082715988,0.0,0.07602048423801089
0.02585487906588824,0.0,0.07599070128083041
0.025903939557474366,0.0,0.07598043925496978
0.026051121032232744,0.0,0.07595465912607924
0.02610018152381887,0.0,0.0758767290122978
0.02619830250699112,0.0,0.07584270610419708
0.029877839375950548,0.0,0.07581693102854792
0.029926899867536674,0.0,0.07580153592400818
0.030025020850708923,0.0,0.07578089778684627
0.0301722023254673,0.0,0.07560982522079773
0.030270323308639553,0.0,0.0756071794179467
0.03031938380022568,0.0,0.07554028655047951
0.03041750478339793,0.0,0.07549528176009301
0.030564686258156306,0.0,0.07546951943096902
0.030809988716086936,0.0,0.0752958780644214
0.030908109699259185,0.0,0.07525987154864533
0.031055291174017563,0.0,0.0751480292274408
0.03125153314036207,0.0,0.07512227963853857
0.03130059363194819,0.0,0.07506871383180425
0.03139871461512044,0.0,0.07497446736385582
0.03164401707305107,0.0,0.0749487241427016
0.03184025903939557,0.0,0.07480320338597612
0.031987440514153954,0.0,0.07480094842127494
0.034342344110287984,0.0,0.07477521156629408
0.03453858607663249,0.0,0.07463246808734114
0.03473482804297699,0.0,0.07462747238908407
0.034832949026149244,0.0,0.07460174189870217
0.03517637246725212,0.0,0.07445803186540367
0.035274493450424375,0.0,0.07445403925667171
0.03547073541676887,0.0,0.0744283151293148
0.035716037874699506,0.0,0.074284640634808
0.03615758229897464,0.0,0.07425493124752336
0.03620664279056076,0.0,0.07424469457093108
0.036402884756905264,0.0,0.07421897812414524
0.03645194524849139,0.0,0.07410955438371036
0.03664818721483589,0.0,0.07410730164874912
0.037285973605455526,0.0,0.07410730164874901
0.03748221557180003,0.0,0.0740391629066236
0.03758033655497228,0.0,0.07397392550942572
0.037776578521316787,0.0,0.0739082921043075
0.03792375999607516,0.0,0.07387235676079551
0.038070941470833536,0.0,0.07374625508159294
0.03826718343717804,0.0,0.07373503682167926
0.038463425403522544,0.0,0.07360214301324697
0.038561546386694796,0.0,0.07358751672006614
0.03861060687828092,0.0,0.07356427831534407
0.03870872786145317,0.0,0.07356182438423908
0.038904969827797675,0.0,0.07352854477379178
0.03905215130255605,0.0,0.07352590681180049
0.0391502722857283,0.0,0.07344002768828484
0.03929745376048668,0.0,0.07340411636306043
0.03954275621841731,0.0,0.07338865478139167
0.03964087720158956,0.0,0.07334729982636756
0.04405632144434087,0.0,0.07324120763276332
0.04454692636020213,0.0,0.07298903697310644
